true_range_m,snr,thr_bias_m,thr_jit_m,thr_rms_m,cfd_bias_m,cfd_jit_m,cfd_rms_m
10.00,94.3591,-0.427552,0.020499,0.428043,-0.000123,0.003859,0.003861
15.00,62.4571,-0.338500,0.021742,0.339198,-0.001084,0.005748,0.005850
20.00,46.3986,-0.271183,0.023145,0.272169,0.000729,0.007295,0.007331
25.00,36.6841,-0.216083,0.021483,0.217148,0.000518,0.009244,0.009258
30.00,30.1486,-0.167653,0.027096,0.169828,-0.002242,0.010408,0.010647
35.00,25.4350,-0.118773,0.027437,0.121901,0.003018,0.013454,0.013788
40.00,21.8659,-0.074615,0.031570,0.081019,-0.001390,0.013755,0.013825
45.00,19.0648,-0.041999,0.033507,0.053727,-0.000777,0.016721,0.016739
50.00,16.8059,-0.011032,0.032586,0.034402,0.000061,0.021153,0.021153
55.00,14.9452,0.026381,0.035303,0.044071,-0.001200,0.023202,0.023233
60.00,13.3865,0.067391,0.033424,0.075225,-0.002161,0.022857,0.022959
65.00,12.0631,0.098133,0.037317,0.104989,-0.005220,0.029241,0.029703
70.00,10.9271,0.132773,0.041538,0.139119,-0.007080,0.034525,0.035243
75.00,9.9424,0.158944,0.044444,0.165040,-0.004968,0.037957,0.038281
80.00,9.0823,0.199129,0.048988,0.205067,-0.004879,0.038335,0.038644
85.00,8.3258,0.219004,0.052717,0.225260,-0.017307,0.042366,0.045765
90.00,7.6567,0.267809,0.060297,0.274513,-0.016469,0.050146,0.052781
95.00,7.0619,0.301774,0.061735,0.308024,0.000108,0.049410,0.049410
100.00,6.5306,0.343084,0.059342,0.348178,-0.010446,0.047961,0.049086
