range_m,spot_pitch_m,ps6_cell_m,pts_per_cell,density_per_m2
2.00,0.01000,0.05000,25.0000,10000.0000
4.97,0.02483,0.05000,4.0551,1622.0285
7.93,0.03966,0.05000,1.5895,635.7839
10.90,0.05449,0.05449,1.0000,336.8082
13.86,0.06932,0.06932,1.0000,208.1134
16.83,0.08415,0.08415,1.0000,141.2243
19.80,0.09898,0.09898,1.0000,102.0759
22.76,0.11381,0.11381,1.0000,77.2071
25.73,0.12864,0.12864,1.0000,60.4319
28.69,0.14347,0.14347,1.0000,48.5843
31.66,0.15830,0.15830,1.0000,39.9077
34.63,0.17313,0.17313,1.0000,33.3637
37.59,0.18796,0.18796,1.0000,28.3066
40.56,0.20279,0.20279,1.0000,24.3179
43.52,0.21762,0.21762,1.0000,21.1165
46.49,0.23244,0.23244,1.0000,18.5080
49.45,0.24727,0.24727,1.0000,16.3546
52.42,0.26210,0.26210,1.0000,14.5563
55.39,0.27693,0.27693,1.0000,13.0391
58.35,0.29176,0.29176,1.0000,11.7473
61.32,0.30659,0.30659,1.0000,10.6384
64.28,0.32142,0.32142,1.0000,9.6794
67.25,0.33625,0.33625,1.0000,8.8444
70.22,0.35108,0.35108,1.0000,8.1130
73.18,0.36591,0.36591,1.0000,7.4687
76.15,0.38074,0.38074,1.0000,6.8983
79.11,0.39557,0.39557,1.0000,6.3907
82.08,0.41040,0.41040,1.0000,5.9372
85.05,0.42523,0.42523,1.0000,5.5303
88.01,0.44006,0.44006,1.0000,5.1639
90.98,0.45489,0.45489,1.0000,4.8327
93.94,0.46972,0.46972,1.0000,4.5323
96.91,0.48455,0.48455,1.0000,4.2592
99.88,0.49938,0.49938,1.0000,4.0100
102.84,0.51421,0.50000,0.9455,3.7820
105.81,0.52904,0.50000,0.8932,3.5729
108.77,0.54387,0.50000,0.8452,3.3808
111.74,0.55870,0.50000,0.8009,3.2037
114.71,0.57353,0.50000,0.7600,3.0401
117.67,0.58836,0.50000,0.7222,2.8888
120.64,0.60319,0.50000,0.6871,2.7485
123.60,0.61802,0.50000,0.6545,2.6182
126.57,0.63285,0.50000,0.6242,2.4969
129.54,0.64768,0.50000,0.5960,2.3839
132.50,0.66251,0.50000,0.5696,2.2784
135.47,0.67733,0.50000,0.5449,2.1797
138.43,0.69216,0.50000,0.5218,2.0873
141.40,0.70699,0.50000,0.5002,2.0006
144.36,0.72182,0.50000,0.4798,1.9193
147.33,0.73665,0.50000,0.4607,1.8428
