sweep,x,snr
reflectivity,0.1000,6.6814
reflectivity,0.1136,7.1923
reflectivity,0.1271,7.6714
reflectivity,0.1407,8.1238
reflectivity,0.1542,8.5534
reflectivity,0.1678,8.9634
reflectivity,0.1814,9.3560
reflectivity,0.1949,9.7333
reflectivity,0.2085,10.0969
reflectivity,0.2220,10.4482
reflectivity,0.2356,10.7883
reflectivity,0.2492,11.1182
reflectivity,0.2627,11.4388
reflectivity,0.2763,11.7508
reflectivity,0.2898,12.0549
reflectivity,0.3034,12.3516
reflectivity,0.3169,12.6414
reflectivity,0.3305,12.9248
reflectivity,0.3441,13.2022
reflectivity,0.3576,13.4739
reflectivity,0.3712,13.7403
reflectivity,0.3847,14.0017
reflectivity,0.3983,14.2584
reflectivity,0.4119,14.5105
reflectivity,0.4254,14.7584
reflectivity,0.4390,15.0022
reflectivity,0.4525,15.2422
reflectivity,0.4661,15.4784
reflectivity,0.4797,15.7111
reflectivity,0.4932,15.9404
reflectivity,0.5068,16.1666
reflectivity,0.5203,16.3896
reflectivity,0.5339,16.6096
reflectivity,0.5475,16.8267
reflectivity,0.5610,17.0411
reflectivity,0.5746,17.2529
reflectivity,0.5881,17.4621
reflectivity,0.6017,17.6688
reflectivity,0.6153,17.8732
reflectivity,0.6288,18.0752
reflectivity,0.6424,18.2750
reflectivity,0.6559,18.4727
reflectivity,0.6695,18.6683
reflectivity,0.6831,18.8618
reflectivity,0.6966,19.0534
reflectivity,0.7102,19.2431
reflectivity,0.7237,19.4310
reflectivity,0.7373,19.6170
reflectivity,0.7508,19.8013
reflectivity,0.7644,19.9839
reflectivity,0.7780,20.1649
reflectivity,0.7915,20.3443
reflectivity,0.8051,20.5221
reflectivity,0.8186,20.6983
reflectivity,0.8322,20.8731
reflectivity,0.8458,21.0465
reflectivity,0.8593,21.2184
reflectivity,0.8729,21.3889
reflectivity,0.8864,21.5581
reflectivity,0.9000,21.7260
aperture_m,0.0150,1.2215
aperture_m,0.0161,1.3755
aperture_m,0.0172,1.5337
aperture_m,0.0183,1.6954
aperture_m,0.0194,1.8600
aperture_m,0.0205,2.0271
aperture_m,0.0216,2.1962
aperture_m,0.0227,2.3670
aperture_m,0.0238,2.5391
aperture_m,0.0249,2.7123
aperture_m,0.0260,2.8862
aperture_m,0.0271,3.0608
aperture_m,0.0282,3.2359
aperture_m,0.0293,3.4112
aperture_m,0.0304,3.5867
aperture_m,0.0315,3.7624
aperture_m,0.0326,3.9380
aperture_m,0.0337,4.1136
aperture_m,0.0348,4.2891
aperture_m,0.0359,4.4644
aperture_m,0.0370,4.6395
aperture_m,0.0381,4.8145
aperture_m,0.0392,4.9892
aperture_m,0.0403,5.1636
aperture_m,0.0414,5.3378
aperture_m,0.0425,5.5117
aperture_m,0.0436,5.6853
aperture_m,0.0447,5.8586
aperture_m,0.0458,6.0317
aperture_m,0.0469,6.2045
aperture_m,0.0481,6.3769
aperture_m,0.0492,6.5492
aperture_m,0.0503,6.7211
aperture_m,0.0514,6.8928
aperture_m,0.0525,7.0642
aperture_m,0.0536,7.2353
aperture_m,0.0547,7.4062
aperture_m,0.0558,7.5769
aperture_m,0.0569,7.7473
aperture_m,0.0580,7.9175
aperture_m,0.0591,8.0874
aperture_m,0.0602,8.2571
aperture_m,0.0613,8.4266
aperture_m,0.0624,8.5960
aperture_m,0.0635,8.7651
aperture_m,0.0646,8.9340
aperture_m,0.0657,9.1027
aperture_m,0.0668,9.2712
aperture_m,0.0679,9.4396
aperture_m,0.0690,9.6078
aperture_m,0.0701,9.7758
aperture_m,0.0712,9.9436
aperture_m,0.0723,10.1113
aperture_m,0.0734,10.2789
aperture_m,0.0745,10.4463
aperture_m,0.0756,10.6136
aperture_m,0.0767,10.7807
aperture_m,0.0778,10.9477
aperture_m,0.0789,11.1145
aperture_m,0.0800,11.2813
sunlight,0.0000,8.1418
sunlight,0.0254,8.0594
sunlight,0.0508,7.9795
sunlight,0.0763,7.9019
sunlight,0.1017,7.8265
sunlight,0.1271,7.7533
sunlight,0.1525,7.6820
sunlight,0.1780,7.6127
sunlight,0.2034,7.5453
sunlight,0.2288,7.4796
sunlight,0.2542,7.4155
sunlight,0.2797,7.3531
sunlight,0.3051,7.2923
sunlight,0.3305,7.2329
sunlight,0.3559,7.1750
sunlight,0.3814,7.1184
sunlight,0.4068,7.0632
sunlight,0.4322,7.0092
sunlight,0.4576,6.9564
sunlight,0.4831,6.9048
sunlight,0.5085,6.8543
sunlight,0.5339,6.8050
sunlight,0.5593,6.7567
sunlight,0.5847,6.7094
sunlight,0.6102,6.6630
sunlight,0.6356,6.6177
sunlight,0.6610,6.5732
sunlight,0.6864,6.5296
sunlight,0.7119,6.4869
sunlight,0.7373,6.4450
sunlight,0.7627,6.4039
sunlight,0.7881,6.3636
sunlight,0.8136,6.3240
sunlight,0.8390,6.2852
sunlight,0.8644,6.2470
sunlight,0.8898,6.2096
sunlight,0.9153,6.1728
sunlight,0.9407,6.1367
sunlight,0.9661,6.1012
sunlight,0.9915,6.0663
sunlight,1.0169,6.0320
sunlight,1.0424,5.9983
sunlight,1.0678,5.9651
sunlight,1.0932,5.9325
sunlight,1.1186,5.9004
sunlight,1.1441,5.8688
sunlight,1.1695,5.8377
sunlight,1.1949,5.8071
sunlight,1.2203,5.7770
sunlight,1.2458,5.7473
sunlight,1.2712,5.7181
sunlight,1.2966,5.6894
sunlight,1.3220,5.6611
sunlight,1.3475,5.6331
sunlight,1.3729,5.6056
sunlight,1.3983,5.5785
sunlight,1.4237,5.5518
sunlight,1.4492,5.5255
sunlight,1.4746,5.4995
sunlight,1.5000,5.4739
accumulation,1,3.3407
accumulation,2,4.7245
accumulation,3,5.7863
accumulation,4,6.6814
accumulation,5,7.4701
accumulation,6,8.1831
accumulation,7,8.8387
accumulation,8,9.4490
accumulation,9,10.0222
accumulation,10,10.5643
accumulation,11,11.0799
accumulation,12,11.5726
accumulation,13,12.0451
accumulation,14,12.4998
accumulation,15,12.9386
accumulation,16,13.3629
